provider,p_error,date,s_error,p_predicted,catalogued,p_detected,event_id,long,s_detected,s_confidence,plot_path,unique_id,depth,network,s_predicted,lat,p_confidence,time,mag_type,epi_distance,detected,code,mag
Detection,,2024-08-26,,,False,2024-08-26T01:37:24.030000,,,,,,2024-08-26_74,,AM,,,0.15382033586502075,2024-08-26T01:37:24.030000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:38:32.400000,,,,,,2024-08-26_75,,AM,,,0.4699583351612091,2024-08-26T01:38:32.400000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:39:20.530000,,,,,,2024-08-26_76,,AM,,,0.49986371397972107,2024-08-26T01:39:20.530000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:39:52.810000,,,,,,2024-08-26_77,,AM,,,0.17310094833374023,2024-08-26T01:39:52.810000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:40:08.020000,,,,,,2024-08-26_78,,AM,,,0.20969459414482117,2024-08-26T01:40:08.020000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:41:05.010000,,,,,,2024-08-26_79,,AM,,,0.7996932864189148,2024-08-26T01:41:05.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:42:21.980000,,,,,,2024-08-26_80,,AM,,,0.40205052495002747,2024-08-26T01:42:21.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:45:13.130000,,,,,,2024-08-26_81,,AM,,,0.29621413350105286,2024-08-26T01:45:13.130000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:47:52.390000,,,,,,2024-08-26_82,,AM,,,0.36343470215797424,2024-08-26T01:47:52.390000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:48:22.780000,,,,,,2024-08-26_83,,AM,,,0.10452783852815628,2024-08-26T01:48:22.780000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:48:32.330000,,,,,,2024-08-26_84,,AM,,,0.1454370617866516,2024-08-26T01:48:32.330000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:48:51.160000,,,,,,2024-08-26_85,,AM,,,0.16495561599731445,2024-08-26T01:48:51.160000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:51:56.680000,,,,,,2024-08-26_86,,AM,,,0.7051323056221008,2024-08-26T01:51:56.680000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:52:18.980000,,,,,,2024-08-26_87,,AM,,,0.19944024085998535,2024-08-26T01:52:18.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:53:35.010000,,,,,,2024-08-26_88,,AM,,,0.7178941369056702,2024-08-26T01:53:35.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:54:22.610000,,,,,,2024-08-26_89,,AM,,,0.45753052830696106,2024-08-26T01:54:22.610000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:55:10.590000,,,,,,2024-08-26_90,,AM,,,0.18957474827766418,2024-08-26T01:55:10.590000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:56:07.020000,,,,,,2024-08-26_91,,AM,,,0.8344801664352417,2024-08-26T01:56:07.020000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:58:35.960000,,,,,,2024-08-26_92,,AM,,,0.1536589413881302,2024-08-26T01:58:35.960000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:58:37,,,,,,2024-08-26_93,,AM,,,0.1113477274775505,2024-08-26T01:58:37,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:58:37.970000,,,,,,2024-08-26_94,,AM,,,0.14826810359954834,2024-08-26T01:58:37.970000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:02:52.920000,,,,,,2024-08-26_95,,AM,,,0.1208086833357811,2024-08-26T02:02:52.920000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:03:35.030000,,,,,,2024-08-26_96,,AM,,,0.7332897782325745,2024-08-26T02:03:35.030000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:05:39.700000,,,,,,2024-08-26_97,,AM,,,0.144680917263031,2024-08-26T02:05:39.700000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:07:05.010000,,,,,,2024-08-26_98,,AM,,,0.38903212547302246,2024-08-26T02:07:05.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:07:06,,,,,,2024-08-26_99,,AM,,,0.27289700508117676,2024-08-26T02:07:06,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:09:03.940000,,,,,,2024-08-26_100,,AM,,,0.10175374150276184,2024-08-26T02:09:03.940000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:09:04.920000,,,,,,2024-08-26_101,,AM,,,0.6264023184776306,2024-08-26T02:09:04.920000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:10:28.150000,,,,,,2024-08-26_102,,AM,,,0.1049526035785675,2024-08-26T02:10:28.150000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:10:31.080000,,,,,,2024-08-26_103,,AM,,,0.10566502064466476,2024-08-26T02:10:31.080000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:11:06.980000,,,,,,2024-08-26_104,,AM,,,0.10588998347520828,2024-08-26T02:11:06.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:11:16.330000,,,,,,2024-08-26_105,,AM,,,0.14744171500205994,2024-08-26T02:11:16.330000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:12:11.020000,,,,,,2024-08-26_106,,AM,,,0.1954687237739563,2024-08-26T02:12:11.020000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:12:41.300000,,,,,,2024-08-26_107,,AM,,,0.32228371500968933,2024-08-26T02:12:41.300000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:12:45.370000,,,,,,2024-08-26_108,,AM,,,0.10299710929393768,2024-08-26T02:12:45.370000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:15:16.060000,,,,,,2024-08-26_109,,AM,,,0.398329496383667,2024-08-26T02:15:16.060000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:16:34.980000,,,,,,2024-08-26_110,,AM,,,0.5538853406906128,2024-08-26T02:16:34.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:19:13.880000,,,,,,2024-08-26_111,,AM,,,0.13366420567035675,2024-08-26T02:19:13.880000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:19:50.170000,,,,,,2024-08-26_112,,AM,,,0.26893988251686096,2024-08-26T02:19:50.170000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:20:50.660000,,,,,,2024-08-26_113,,AM,,,0.16295857727527618,2024-08-26T02:20:50.660000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:21:10.160000,,,,,,2024-08-26_114,,AM,,,0.17056450247764587,2024-08-26T02:21:10.160000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:23:13.450000,,,,,,2024-08-26_115,,AM,,,0.1385463923215866,2024-08-26T02:23:13.450000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:24:14.050000,,,,,,2024-08-26_116,,AM,,,0.19645747542381287,2024-08-26T02:24:14.050000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:24:31.030000,,,,,,2024-08-26_117,,AM,,,0.16400913894176483,2024-08-26T02:24:31.030000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:27:34.250000,,,,,,2024-08-26_118,,AM,,,0.5404084324836731,2024-08-26T02:27:34.250000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:27:55,,,,,,2024-08-26_119,,AM,,,0.11352778226137161,2024-08-26T02:27:55,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:28:06,,,,,,2024-08-26_120,,AM,,,0.44034066796302795,2024-08-26T02:28:06,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:31:23.090000,,,,,,2024-08-26_121,,AM,,,0.31103384494781494,2024-08-26T02:31:23.090000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:31:30.500000,,,,,,2024-08-26_122,,AM,,,0.10553447902202606,2024-08-26T02:31:30.500000,,,True,R1F0E,
