depth,plot_path,s_detected,provider,network,p_detected,epi_distance,code,s_confidence,date,time,s_predicted,catalogued,mag_type,s_error,mag,detected,lat,event_id,p_predicted,p_confidence,long,unique_id,p_error
,,,Detection,AM,2024-08-26T01:10:09.030000,,RBE3F,,2024-08-26,2024-08-26T01:10:09.030000,,False,,,,True,,,,0.12505105137825012,,2024-08-26_93,
,,,Detection,AM,2024-08-26T01:10:37.010000,,RBE3F,,2024-08-26,2024-08-26T01:10:37.010000,,False,,,,True,,,,0.7443347573280334,,2024-08-26_94,
,,,Detection,AM,2024-08-26T01:10:43.160000,,RBE3F,,2024-08-26,2024-08-26T01:10:43.160000,,False,,,,True,,,,0.1089344248175621,,2024-08-26_95,
,,,Detection,AM,2024-08-26T01:11:59.990000,,RBE3F,,2024-08-26,2024-08-26T01:11:59.990000,,False,,,,True,,,,0.6727891564369202,,2024-08-26_96,
,,,Detection,AM,,,RBE3F,,2024-08-26,2024-08-26T01:12:00.550000,,False,,,,True,,,,,,2024-08-26_97,
,,,Detection,AM,2024-08-26T01:12:34.820000,,RBE3F,,2024-08-26,2024-08-26T01:12:34.820000,,False,,,,True,,,,0.6404896378517151,,2024-08-26_98,
,,,Detection,AM,2024-08-26T01:14:26.590000,,RBE3F,,2024-08-26,2024-08-26T01:14:26.590000,,False,,,,True,,,,0.8502482771873474,,2024-08-26_99,
,,,Detection,AM,2024-08-26T01:15:08.610000,,RBE3F,,2024-08-26,2024-08-26T01:15:08.610000,,False,,,,True,,,,0.855358362197876,,2024-08-26_100,
,,,Detection,AM,,,RBE3F,,2024-08-26,2024-08-26T01:15:10.480000,,False,,,,True,,,,,,2024-08-26_101,
,,,Detection,AM,2024-08-26T01:15:38,,RBE3F,,2024-08-26,2024-08-26T01:15:38,,False,,,,True,,,,0.8865951895713806,,2024-08-26_102,
,,,Detection,AM,2024-08-26T01:16:56.030000,,RBE3F,,2024-08-26,2024-08-26T01:16:56.030000,,False,,,,True,,,,0.47035709023475647,,2024-08-26_103,
,,,Detection,AM,2024-08-26T01:17:17.950000,,RBE3F,,2024-08-26,2024-08-26T01:17:17.950000,,False,,,,True,,,,0.2271842062473297,,2024-08-26_104,
,,,Detection,AM,2024-08-26T01:18:21.020000,,RBE3F,,2024-08-26,2024-08-26T01:18:21.020000,,False,,,,True,,,,0.704159140586853,,2024-08-26_105,
,,,Detection,AM,2024-08-26T01:18:31.190000,,RBE3F,,2024-08-26,2024-08-26T01:18:31.190000,,False,,,,True,,,,0.10106110572814941,,2024-08-26_106,
,,,Detection,AM,2024-08-26T01:18:40.950000,,RBE3F,,2024-08-26,2024-08-26T01:18:40.950000,,False,,,,True,,,,0.6945444345474243,,2024-08-26_107,
,,,Detection,AM,,,RBE3F,,2024-08-26,2024-08-26T01:18:42.820000,,False,,,,True,,,,,,2024-08-26_108,
,,,Detection,AM,2024-08-26T01:18:54.880000,,RBE3F,,2024-08-26,2024-08-26T01:18:54.880000,,False,,,,True,,,,0.11585140973329544,,2024-08-26_109,
,,,Detection,AM,2024-08-26T01:20:07.940000,,RBE3F,,2024-08-26,2024-08-26T01:20:07.940000,,False,,,,True,,,,0.12236778438091278,,2024-08-26_110,
,,,Detection,AM,2024-08-26T01:20:38,,RBE3F,,2024-08-26,2024-08-26T01:20:38,,False,,,,True,,,,0.7480039000511169,,2024-08-26_111,
,,,Detection,AM,2024-08-26T01:21:48.990000,,RBE3F,,2024-08-26,2024-08-26T01:21:48.990000,,False,,,,True,,,,0.6749037504196167,,2024-08-26_112,
,,,Detection,AM,2024-08-26T01:22:13.480000,,RBE3F,,2024-08-26,2024-08-26T01:22:13.480000,,False,,,,True,,,,0.3930538296699524,,2024-08-26_113,
,,,Detection,AM,2024-08-26T01:22:19.810000,,RBE3F,,2024-08-26,2024-08-26T01:22:19.810000,,False,,,,True,,,,0.1508321464061737,,2024-08-26_114,
,,,Detection,AM,2024-08-26T01:22:49.960000,,RBE3F,,2024-08-26,2024-08-26T01:22:49.960000,,False,,,,True,,,,0.6315564513206482,,2024-08-26_115,
,,,Detection,AM,2024-08-26T01:24:13.870000,,RBE3F,,2024-08-26,2024-08-26T01:24:13.870000,,False,,,,True,,,,0.5696653127670288,,2024-08-26_116,
,,,Detection,AM,2024-08-26T01:24:31.840000,,RBE3F,,2024-08-26,2024-08-26T01:24:31.840000,,False,,,,True,,,,0.2054043710231781,,2024-08-26_117,
,,,Detection,AM,2024-08-26T01:24:34.870000,,RBE3F,,2024-08-26,2024-08-26T01:24:34.870000,,False,,,,True,,,,0.14492501318454742,,2024-08-26_118,
,,,Detection,AM,2024-08-26T01:25:05.760000,,RBE3F,,2024-08-26,2024-08-26T01:25:05.760000,,False,,,,True,,,,0.4493553042411804,,2024-08-26_119,
,,,Detection,AM,2024-08-26T01:25:14.760000,,RBE3F,,2024-08-26,2024-08-26T01:25:14.760000,,False,,,,True,,,,0.18828538060188293,,2024-08-26_120,
,,,Detection,AM,2024-08-26T01:26:26.470000,,RBE3F,,2024-08-26,2024-08-26T01:26:26.470000,,False,,,,True,,,,0.1354600489139557,,2024-08-26_121,
,,,Detection,AM,2024-08-26T01:29:26.760000,,RBE3F,,2024-08-26,2024-08-26T01:29:26.760000,,False,,,,True,,,,0.7864866256713867,,2024-08-26_122,
,,,Detection,AM,2024-08-26T01:29:32.730000,,RBE3F,,2024-08-26,2024-08-26T01:29:32.730000,,False,,,,True,,,,0.22995135188102722,,2024-08-26_123,
,,,Detection,AM,2024-08-26T01:30:53.700000,,RBE3F,,2024-08-26,2024-08-26T01:30:53.700000,,False,,,,True,,,,0.21902506053447723,,2024-08-26_124,
,,,Detection,AM,2024-08-26T01:31:51.070000,,RBE3F,,2024-08-26,2024-08-26T01:31:51.070000,,False,,,,True,,,,0.7643768787384033,,2024-08-26_125,
,,,Detection,AM,2024-08-26T01:32:52.960000,,RBE3F,,2024-08-26,2024-08-26T01:32:52.960000,,False,,,,True,,,,0.5610169172286987,,2024-08-26_126,
,,,Detection,AM,2024-08-26T01:33:53.450000,,RBE3F,,2024-08-26,2024-08-26T01:33:53.450000,,False,,,,True,,,,0.22588582336902618,,2024-08-26_127,
,,,Detection,AM,2024-08-26T01:34:15.030000,,RBE3F,,2024-08-26,2024-08-26T01:34:15.030000,,False,,,,True,,,,0.157366082072258,,2024-08-26_128,
,,,Detection,AM,2024-08-26T01:35:05,,RBE3F,,2024-08-26,2024-08-26T01:35:05,,False,,,,True,,,,0.31940969824790955,,2024-08-26_129,
,,,Detection,AM,2024-08-26T01:35:36.010000,,RBE3F,,2024-08-26,2024-08-26T01:35:36.010000,,False,,,,True,,,,0.7749606370925903,,2024-08-26_130,
,,,Detection,AM,2024-08-26T01:37:22.120000,,RBE3F,,2024-08-26,2024-08-26T01:37:22.120000,,False,,,,True,,,,0.5706560015678406,,2024-08-26_131,
,,,Detection,AM,2024-08-26T01:38:51.010000,,RBE3F,,2024-08-26,2024-08-26T01:38:51.010000,,False,,,,True,,,,0.15100929141044617,,2024-08-26_132,
,,,Detection,AM,2024-08-26T01:39:47.270000,,RBE3F,,2024-08-26,2024-08-26T01:39:47.270000,,False,,,,True,,,,0.6583948135375977,,2024-08-26_133,
,,,Detection,AM,2024-08-26T01:41:04,,RBE3F,,2024-08-26,2024-08-26T01:41:04,,False,,,,True,,,,0.7471548914909363,,2024-08-26_134,
,,,Detection,AM,2024-08-26T01:42:13.470000,,RBE3F,,2024-08-26,2024-08-26T01:42:13.470000,,False,,,,True,,,,0.4905512034893036,,2024-08-26_135,
,,,Detection,AM,2024-08-26T01:42:34.950000,,RBE3F,,2024-08-26,2024-08-26T01:42:34.950000,,False,,,,True,,,,0.1684792935848236,,2024-08-26_136,
,,,Detection,AM,2024-08-26T01:42:37,,RBE3F,,2024-08-26,2024-08-26T01:42:37,,False,,,,True,,,,0.4990224838256836,,2024-08-26_137,
,,,Detection,AM,2024-08-26T01:42:37.910000,,RBE3F,,2024-08-26,2024-08-26T01:42:37.910000,,False,,,,True,,,,0.20116311311721802,,2024-08-26_138,
,,,Detection,AM,2024-08-26T01:43:35.930000,,RBE3F,,2024-08-26,2024-08-26T01:43:35.930000,,False,,,,True,,,,0.10389634221792221,,2024-08-26_139,
,,,Detection,AM,2024-08-26T01:43:50.090000,,RBE3F,,2024-08-26,2024-08-26T01:43:50.090000,,False,,,,True,,,,0.5829038023948669,,2024-08-26_140,
,,,Detection,AM,2024-08-26T01:44:19.150000,,RBE3F,,2024-08-26,2024-08-26T01:44:19.150000,,False,,,,True,,,,0.36556345224380493,,2024-08-26_141,
,,,Detection,AM,2024-08-26T01:45:09.990000,,RBE3F,,2024-08-26,2024-08-26T01:45:09.990000,,False,,,,True,,,,0.8541247844696045,,2024-08-26_142,
,,,Detection,AM,2024-08-26T01:46:22.990000,,RBE3F,,2024-08-26,2024-08-26T01:46:22.990000,,False,,,,True,,,,0.49379563331604004,,2024-08-26_143,
,,,Detection,AM,2024-08-26T01:46:28.040000,,RBE3F,,2024-08-26,2024-08-26T01:46:28.040000,,False,,,,True,,,,0.2459428757429123,,2024-08-26_144,
