network,provider,long,plot_path,p_error,s_detected,detected,s_predicted,catalogued,event_id,depth,date,mag,p_predicted,epi_distance,unique_id,p_detected,code,time,s_error,mag_type,lat,p_confidence,s_confidence
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_129,2024-08-23T06:29:20.040000,R50D6,2024-08-23T06:29:20.040000,,,,0.8843703269958496,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_130,2024-08-23T06:30:39,R50D6,2024-08-23T06:30:39,,,,0.8769389986991882,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_131,2024-08-23T06:31:25.020000,R50D6,2024-08-23T06:31:25.020000,,,,0.8881336450576782,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_132,,R50D6,2024-08-23T06:31:25.600000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_133,2024-08-23T06:32:35,R50D6,2024-08-23T06:32:35,,,,0.4416654407978058,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_134,2024-08-23T06:32:35.990000,R50D6,2024-08-23T06:32:35.990000,,,,0.3731890320777893,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_135,2024-08-23T06:34:19.040000,R50D6,2024-08-23T06:34:19.040000,,,,0.7282018661499023,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_136,2024-08-23T06:37:20.020000,R50D6,2024-08-23T06:37:20.020000,,,,0.6152058839797974,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_137,,R50D6,2024-08-23T06:37:20.310000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_138,2024-08-23T06:37:45.140000,R50D6,2024-08-23T06:37:45.140000,,,,0.420381635427475,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_139,,R50D6,2024-08-23T06:37:46.670000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_140,2024-08-23T06:38:37.060000,R50D6,2024-08-23T06:38:37.060000,,,,0.5022830367088318,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_141,2024-08-23T06:48:20,R50D6,2024-08-23T06:48:20,,,,0.2034134119749069,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_142,2024-08-23T06:48:21.030000,R50D6,2024-08-23T06:48:21.030000,,,,0.2043528258800506,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_143,2024-08-23T06:49:07.980000,R50D6,2024-08-23T06:49:07.980000,,,,0.5129600167274475,
