provider,event_id,s_predicted,lat,p_predicted,p_detected,plot_path,s_detected,code,s_confidence,mag,epi_distance,unique_id,time,s_error,date,network,p_error,long,depth,detected,mag_type,p_confidence,catalogued
EMSC,quakeml:eu.emsc/event/20240615_0000183,2024-06-15T17:26:02.513267,39.76,2024-06-15T17:21:52.608071,,,,R50D6,,2.1,2429.2983909641125,2024-06-15_153,2024-06-15T17:16:54.800000,,2024-06-15,AM,,22.24,5.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000184,2024-06-15T17:39:24.913043,24.31,2024-06-15T17:28:42.188034,2024-06-15T17:28:39.020000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_154_event_plot.png?raw=true,,R50D6,,4.1,9710.136329325676,2024-06-15_154,2024-06-15T17:15:52.700000,,2024-06-15,AM,-3.168034,121.86,11.4,True,ml,0.6453028917312622,True
EMSC,quakeml:eu.emsc/event/20240615_0000190,2024-06-15T17:25:30.388518,37.7775,2024-06-15T17:20:24.670367,,,,R50D6,,1.4,3422.6859487631978,2024-06-15_155,2024-06-15T17:14:07,,2024-06-15,AM,,36.5542,7.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000192,2024-06-15T17:05:49.766181,38.5869,2024-06-15T17:01:13.745914,,,,R50D6,,1.6,2851.790605481958,2024-06-15_156,2024-06-15T16:55:39,,2024-06-15,AM,,28.055,6.8,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000180,2024-06-15T17:03:47.947212,38.5714,2024-06-15T16:59:11.845177,,,,R50D6,,2.0,2852.927288656496,2024-06-15_157,2024-06-15T16:53:37,,2024-06-15,AM,,28.0522,7.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000257,2024-06-15T16:54:33.737821,76.014,2024-06-15T16:50:27.572038,,,,R50D6,,2.8,2397.0756023241365,2024-06-15_158,2024-06-15T16:45:32.300000,,2024-06-15,AM,,8.079,22.5,False,mw,,True
EMSC,quakeml:eu.emsc/event/20240615_0000185,2024-06-15T17:02:55.184282,17.9617,2024-06-15T16:54:32.305521,,,,R50D6,,2.1,6823.894980769767,2024-06-15_159,2024-06-15T16:44:14.380000,,2024-06-15,AM,,-67.096,11.4,False,md,,True
EMSC,quakeml:eu.emsc/event/20240615_0000176,2024-06-15T16:52:52.656745,35.9668,2024-06-15T16:47:40.371976,,,,R50D6,,2.5,3530.637509682628,2024-06-15_160,2024-06-15T16:41:14.210000,,2024-06-15,AM,,35.9038,10.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000172,2024-06-15T16:33:21.324910,12.75,2024-06-15T16:23:26.511559,,,,R50D6,,3.0,8651.772369152595,2024-06-15_161,2024-06-15T16:11:27,,2024-06-15,AM,,-88.41,36.0,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000169,2024-06-15T16:24:38.522743,39.1153,2024-06-15T16:15:04.902119,,,,R50D6,,2.1,8192.876483652377,2024-06-15_162,2024-06-15T16:03:28.190000,,2024-06-15,AM,,-123.1258,3.1,False,md,,True
EMSC,quakeml:eu.emsc/event/20240615_0000167,2024-06-15T15:36:58.239990,38.096,2024-06-15T15:32:31.552140,,,,R50D6,,2.5,2561.6956641725983,2024-06-15_163,2024-06-15T15:27:22.300000,,2024-06-15,AM,,21.9608,15.4,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000165,2024-06-15T15:36:00.700020,31.627,2024-06-15T15:26:39.538402,,,,R50D6,,2.7,7943.156865336975,2024-06-15_164,2024-06-15T15:15:16.411835,,2024-06-15,AM,,-104.493,6.1,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000164,2024-06-15T15:34:23.872506,31.5893,2024-06-15T15:25:02.378632,2024-06-15T15:25:09.970000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_165_event_plot.png?raw=true,,R50D6,,2.5,7949.867981717313,2024-06-15_165,2024-06-15T15:13:38.888000,,2024-06-15,AM,7.591368,-104.5524,5.0,True,ml,0.1861743777990341,True
EMSC,quakeml:eu.emsc/event/20240615_0000156,2024-06-15T15:30:31.403454,38.7712,2024-06-15T15:20:57.063040,,,,R50D6,,2.3,8207.797470975258,2024-06-15_166,2024-06-15T15:09:19.570000,,2024-06-15,AM,,-122.722,2.2,False,md,,True
EMSC,quakeml:eu.emsc/event/20240615_0000155,2024-06-15T15:13:50.524362,45.16,2024-06-15T15:11:17.772885,,,,R50D6,,1.6,1583.671913366741,2024-06-15_167,2024-06-15T15:07:47,,2024-06-15,AM,,14.92,1.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000161,2024-06-15T15:01:30.436358,35.545,2024-06-15T14:57:45.531505,,,,R50D6,,2.5,2143.240677982847,2024-06-15_168,2024-06-15T14:53:12.630000,,2024-06-15,AM,,-3.6434,18.5,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000159,2024-06-15T15:13:21.596760,10.587,2024-06-15T15:03:28.103751,,,,R50D6,,3.0,8625.525825511411,2024-06-15_169,2024-06-15T14:51:30,,2024-06-15,AM,,-84.964,5.0,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000157,2024-06-15T14:58:09.951507,37.0937,2024-06-15T14:54:36.429249,,,,R50D6,,2.8,1979.2913811676249,2024-06-15_170,2024-06-15T14:50:17.260000,,2024-06-15,AM,,-4.6795,2.3,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000152,2024-06-15T14:38:24.252318,38.6583,2024-06-15T14:35:13.417822,,,,R50D6,,2.8,1794.1162730368055,2024-06-15_171,2024-06-15T14:31:21.700000,,2024-06-15,AM,,-0.1705,0.0,False,ml,,True
