detected,plot_path,depth,mag,time,s_detected,unique_id,p_detected,catalogued,date,p_confidence,p_predicted,event_id,mag_type,code,network,s_confidence,s_predicted,long,s_error,lat,provider,epi_distance,p_error
True,,,,2024-07-02T06:00:09.990000,,2024-07-02_110,2024-07-02T06:00:09.990000,False,2024-07-02,0.836040735244751,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:05:10.370000,,2024-07-02_111,2024-07-02T06:05:10.370000,False,2024-07-02,0.4956517219543457,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:05:10.770000,,2024-07-02_112,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:06:15.820000,,2024-07-02_113,2024-07-02T06:06:15.820000,False,2024-07-02,0.4460572004318237,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:13:11.260000,,2024-07-02_114,2024-07-02T06:13:11.260000,False,2024-07-02,0.3581692576408386,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:14:15.590000,,2024-07-02_115,2024-07-02T06:14:15.590000,False,2024-07-02,0.3603579103946686,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:14:58.440000,,2024-07-02_116,2024-07-02T06:14:58.440000,False,2024-07-02,0.5561297535896301,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:14:59.170000,,2024-07-02_117,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:20:06.040000,,2024-07-02_118,2024-07-02T06:20:06.040000,False,2024-07-02,0.5716283917427063,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:24:21.030000,,2024-07-02_119,2024-07-02T06:24:21.030000,False,2024-07-02,0.2483884990215301,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:31:09.010000,,2024-07-02_120,2024-07-02T06:31:09.010000,False,2024-07-02,0.8193336725234985,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:31:13.340000,,2024-07-02_121,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:33:07.950000,,2024-07-02_122,2024-07-02T06:33:07.950000,False,2024-07-02,0.2329067289829254,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:35:21.060000,,2024-07-02_123,2024-07-02T06:35:21.060000,False,2024-07-02,0.5926613807678223,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:37:06.050000,,2024-07-02_124,2024-07-02T06:37:06.050000,False,2024-07-02,0.54917311668396,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:37:18.830000,,2024-07-02_125,2024-07-02T06:37:18.830000,False,2024-07-02,0.4754983186721802,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:39:08.980000,,2024-07-02_126,2024-07-02T06:39:08.980000,False,2024-07-02,0.2275577783584594,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:42:21.540000,,2024-07-02_127,2024-07-02T06:42:21.540000,False,2024-07-02,0.2455536872148513,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:43:55.690000,,2024-07-02_128,2024-07-02T06:43:55.690000,False,2024-07-02,0.3770045638084411,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:43:56.130000,,2024-07-02_129,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:45:51.770000,,2024-07-02_130,2024-07-02T06:45:51.770000,False,2024-07-02,0.6394895911216736,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:45:52.360000,,2024-07-02_131,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:48:07.990000,,2024-07-02_132,2024-07-02T06:48:07.990000,False,2024-07-02,0.7823113203048706,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:51:37.970000,,2024-07-02_133,2024-07-02T06:51:37.970000,False,2024-07-02,0.2866979539394378,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:52:15.710000,,2024-07-02_134,2024-07-02T06:52:15.710000,False,2024-07-02,0.3519202768802643,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:55:36.010000,,2024-07-02_135,2024-07-02T06:55:36.010000,False,2024-07-02,0.8820645213127136,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:55:49.250000,,2024-07-02_136,2024-07-02T06:55:49.250000,False,2024-07-02,0.226528063416481,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:58:09,,2024-07-02_137,2024-07-02T06:58:09,False,2024-07-02,0.7680964469909668,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:58:38.690000,,2024-07-02_138,2024-07-02T06:58:38.690000,False,2024-07-02,0.2791419625282287,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T06:59:18.880000,,2024-07-02_139,2024-07-02T06:59:18.880000,False,2024-07-02,0.297194093465805,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:01:04.660000,,2024-07-02_140,2024-07-02T07:01:04.660000,False,2024-07-02,0.2546450197696686,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:01:22.090000,,2024-07-02_141,2024-07-02T07:01:22.090000,False,2024-07-02,0.4252759516239166,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:01:49.340000,,2024-07-02_142,2024-07-02T07:01:49.340000,False,2024-07-02,0.3116635978221893,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:02:27.960000,,2024-07-02_143,2024-07-02T07:02:27.960000,False,2024-07-02,0.8692439198493958,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:04:42.970000,,2024-07-02_144,2024-07-02T07:04:42.970000,False,2024-07-02,0.6834626197814941,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:05:20.560000,,2024-07-02_145,2024-07-02T07:05:20.560000,False,2024-07-02,0.2371091544628143,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:06:25.730000,,2024-07-02_146,2024-07-02T07:06:25.730000,False,2024-07-02,0.7228128910064697,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:07:22.120000,,2024-07-02_147,2024-07-02T07:07:22.120000,False,2024-07-02,0.2036414742469787,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:08:08.990000,,2024-07-02_148,2024-07-02T07:08:08.990000,False,2024-07-02,0.200828269124031,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:08:09.980000,,2024-07-02_149,2024-07-02T07:08:09.980000,False,2024-07-02,0.4211467802524566,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:08:10.990000,,2024-07-02_150,2024-07-02T07:08:10.990000,False,2024-07-02,0.2375498116016388,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:08:17.740000,,2024-07-02_151,2024-07-02T07:08:17.740000,False,2024-07-02,0.2246023416519165,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T07:09:35.250000,,2024-07-02_152,2024-07-02T07:09:35.250000,False,2024-07-02,0.6498317718505859,,,,R50D6,AM,,,,,,Detection,,
