long,detected,unique_id,epi_distance,event_id,s_detected,provider,network,s_confidence,s_predicted,p_detected,p_confidence,lat,date,plot_path,p_error,depth,time,p_predicted,mag,s_error,catalogued,code,mag_type
,True,2024-08-23_106,,,,Detection,AM,,,2024-08-23T04:40:08.120000,0.7547982931137085,,2024-08-23,,,,2024-08-23T04:40:08.120000,,,,False,R50D6,
,True,2024-08-23_107,,,,Detection,AM,,,2024-08-23T04:40:38,0.30403751134872437,,2024-08-23,,,,2024-08-23T04:40:38,,,,False,R50D6,
,True,2024-08-23_108,,,,Detection,AM,,,2024-08-23T04:40:43.460000,0.41486087441444397,,2024-08-23,,,,2024-08-23T04:40:43.460000,,,,False,R50D6,
,True,2024-08-23_109,,,,Detection,AM,,,2024-08-23T04:46:06.980000,0.4495609700679779,,2024-08-23,,,,2024-08-23T04:46:06.980000,,,,False,R50D6,
,True,2024-08-23_110,,,,Detection,AM,,,2024-08-23T04:46:35,0.25387144088745117,,2024-08-23,,,,2024-08-23T04:46:35,,,,False,R50D6,
,True,2024-08-23_111,,,,Detection,AM,,,2024-08-23T04:46:35.970000,0.14430855214595795,,2024-08-23,,,,2024-08-23T04:46:35.970000,,,,False,R50D6,
,True,2024-08-23_112,,,,Detection,AM,,,2024-08-23T04:57:05.030000,0.5560817122459412,,2024-08-23,,,,2024-08-23T04:57:05.030000,,,,False,R50D6,
,True,2024-08-23_113,,,,Detection,AM,,,2024-08-23T04:57:05.980000,0.1309749335050583,,2024-08-23,,,,2024-08-23T04:57:05.980000,,,,False,R50D6,
,True,2024-08-23_114,,,,Detection,AM,,,2024-08-23T04:58:40.010000,0.8887987732887268,,2024-08-23,,,,2024-08-23T04:58:40.010000,,,,False,R50D6,
,True,2024-08-23_115,,,,Detection,AM,,,2024-08-23T05:00:37.020000,0.6365383267402649,,2024-08-23,,,,2024-08-23T05:00:37.020000,,,,False,R50D6,
,True,2024-08-23_116,,,,Detection,AM,,,2024-08-23T05:05:21.060000,0.5471760034561157,,2024-08-23,,,,2024-08-23T05:05:21.060000,,,,False,R50D6,
,True,2024-08-23_117,,,,Detection,AM,,,2024-08-23T05:10:36.990000,0.5975321531295776,,2024-08-23,,,,2024-08-23T05:10:36.990000,,,,False,R50D6,
,True,2024-08-23_118,,,,Detection,AM,,,2024-08-23T05:10:37.970000,0.16059774160385132,,2024-08-23,,,,2024-08-23T05:10:37.970000,,,,False,R50D6,
,True,2024-08-23_119,,,,Detection,AM,,,2024-08-23T05:11:19.060000,0.15002408623695374,,2024-08-23,,,,2024-08-23T05:11:19.060000,,,,False,R50D6,
,True,2024-08-23_120,,,,Detection,AM,,,2024-08-23T05:13:06.880000,0.4368100166320801,,2024-08-23,,,,2024-08-23T05:13:06.880000,,,,False,R50D6,
,True,2024-08-23_121,,,,Detection,AM,,,2024-08-23T05:13:20.790000,0.6004816889762878,,2024-08-23,,,,2024-08-23T05:13:20.790000,,,,False,R50D6,
,True,2024-08-23_122,,,,Detection,AM,,,2024-08-23T05:13:49.600000,0.4326925575733185,,2024-08-23,,,,2024-08-23T05:13:49.600000,,,,False,R50D6,
,True,2024-08-23_123,,,,Detection,AM,,,2024-08-23T05:15:23.600000,0.10011455416679382,,2024-08-23,,,,2024-08-23T05:15:23.600000,,,,False,R50D6,
,True,2024-08-23_124,,,,Detection,AM,,,2024-08-23T05:15:45.240000,0.16705916821956635,,2024-08-23,,,,2024-08-23T05:15:45.240000,,,,False,R50D6,
,True,2024-08-23_125,,,,Detection,AM,,,2024-08-23T05:16:05.010000,0.7988004684448242,,2024-08-23,,,,2024-08-23T05:16:05.010000,,,,False,R50D6,
,True,2024-08-23_126,,,,Detection,AM,,,2024-08-23T05:17:22.910000,0.17044275999069214,,2024-08-23,,,,2024-08-23T05:17:22.910000,,,,False,R50D6,
,True,2024-08-23_127,,,,Detection,AM,,,2024-08-23T05:20:52.900000,0.20637793838977814,,2024-08-23,,,,2024-08-23T05:20:52.900000,,,,False,R50D6,
,True,2024-08-23_128,,,,Detection,AM,,,2024-08-23T05:21:29.930000,0.6184221506118774,,2024-08-23,,,,2024-08-23T05:21:29.930000,,,,False,R50D6,
,True,2024-08-23_129,,,,Detection,AM,,,2024-08-23T05:27:16.010000,0.2650030255317688,,2024-08-23,,,,2024-08-23T05:27:16.010000,,,,False,R50D6,
,True,2024-08-23_130,,,,Detection,AM,,,2024-08-23T05:27:42.470000,0.16031494736671448,,2024-08-23,,,,2024-08-23T05:27:42.470000,,,,False,R50D6,
,True,2024-08-23_131,,,,Detection,AM,,,2024-08-23T05:28:54.990000,0.6015134453773499,,2024-08-23,,,,2024-08-23T05:28:54.990000,,,,False,R50D6,
,True,2024-08-23_132,,,,Detection,AM,,,2024-08-23T05:28:55.470000,0.4883177876472473,,2024-08-23,,,,2024-08-23T05:28:55.470000,,,,False,R50D6,
,True,2024-08-23_133,,,,Detection,AM,,,2024-08-23T05:33:08.980000,0.4207245409488678,,2024-08-23,,,,2024-08-23T05:33:08.980000,,,,False,R50D6,
,True,2024-08-23_134,,,,Detection,AM,,,2024-08-23T05:33:09.960000,0.45745760202407837,,2024-08-23,,,,2024-08-23T05:33:09.960000,,,,False,R50D6,
,True,2024-08-23_135,,,,Detection,AM,,,2024-08-23T05:33:10.970000,0.10976961255073547,,2024-08-23,,,,2024-08-23T05:33:10.970000,,,,False,R50D6,
,True,2024-08-23_136,,,,Detection,AM,,,2024-08-23T05:37:05.030000,0.36987796425819397,,2024-08-23,,,,2024-08-23T05:37:05.030000,,,,False,R50D6,
,True,2024-08-23_137,,,,Detection,AM,,,2024-08-23T05:38:37.960000,0.1600084900856018,,2024-08-23,,,,2024-08-23T05:38:37.960000,,,,False,R50D6,
,True,2024-08-23_138,,,,Detection,AM,,,2024-08-23T05:38:45.890000,0.22693473100662231,,2024-08-23,,,,2024-08-23T05:38:45.890000,,,,False,R50D6,
,True,2024-08-23_139,,,,Detection,AM,,,2024-08-23T05:39:01.480000,0.12521104514598846,,2024-08-23,,,,2024-08-23T05:39:01.480000,,,,False,R50D6,
,True,2024-08-23_140,,,,Detection,AM,,,2024-08-23T05:39:08.850000,0.259004145860672,,2024-08-23,,,,2024-08-23T05:39:08.850000,,,,False,R50D6,
,True,2024-08-23_141,,,,Detection,AM,,,2024-08-23T05:39:52.980000,0.18546593189239502,,2024-08-23,,,,2024-08-23T05:39:52.980000,,,,False,R50D6,
,True,2024-08-23_142,,,,Detection,AM,,,2024-08-23T05:39:54.020000,0.4672495126724243,,2024-08-23,,,,2024-08-23T05:39:54.020000,,,,False,R50D6,
,True,2024-08-23_143,,,,Detection,AM,,,2024-08-23T05:39:54.890000,0.10688178241252899,,2024-08-23,,,,2024-08-23T05:39:54.890000,,,,False,R50D6,
,True,2024-08-23_144,,,,Detection,AM,,,2024-08-23T05:40:07.940000,0.16614210605621338,,2024-08-23,,,,2024-08-23T05:40:07.940000,,,,False,R50D6,
,True,2024-08-23_145,,,,Detection,AM,,,2024-08-23T05:40:52.510000,0.4262879192829132,,2024-08-23,,,,2024-08-23T05:40:52.510000,,,,False,R50D6,
,True,2024-08-23_146,,,,Detection,AM,,,2024-08-23T05:42:21.890000,0.5336184501647949,,2024-08-23,,,,2024-08-23T05:42:21.890000,,,,False,R50D6,
,True,2024-08-23_147,,,,Detection,AM,,,2024-08-23T05:44:38.010000,0.7905741333961487,,2024-08-23,,,,2024-08-23T05:44:38.010000,,,,False,R50D6,
,True,2024-08-23_148,,,,Detection,AM,,,2024-08-23T05:45:19.730000,0.5410248041152954,,2024-08-23,,,,2024-08-23T05:45:19.730000,,,,False,R50D6,
,True,2024-08-23_149,,,,Detection,AM,,,,,,2024-08-23,,,,2024-08-23T05:45:20.530000,,,,False,R50D6,
,True,2024-08-23_150,,,,Detection,AM,,,2024-08-23T05:48:32.170000,0.4581848680973053,,2024-08-23,,,,2024-08-23T05:48:32.170000,,,,False,R50D6,
,True,2024-08-23_151,,,,Detection,AM,,,,,,2024-08-23,,,,2024-08-23T05:48:32.520000,,,,False,R50D6,
,True,2024-08-23_152,,,,Detection,AM,,,2024-08-23T05:48:54.160000,0.6738490462303162,,2024-08-23,,,,2024-08-23T05:48:54.160000,,,,False,R50D6,
