s_predicted,mag,network,code,p_detected,s_confidence,epi_distance,catalogued,provider,depth,unique_id,long,time,detected,p_error,mag_type,p_confidence,s_detected,event_id,p_predicted,date,plot_path,s_error,lat
,,AM,R50D6,2024-08-23T04:00:21.940000,,,False,Detection,,2024-08-23_89,,2024-08-23T04:00:21.940000,True,,,0.3178092539310455,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:14:35,,,False,Detection,,2024-08-23_90,,2024-08-23T04:14:35,True,,,0.1590829789638519,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:14:35.960000,,,False,Detection,,2024-08-23_91,,2024-08-23T04:14:35.960000,True,,,0.1738846153020858,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:19:20.970000,,,False,Detection,,2024-08-23_92,,2024-08-23T04:19:20.970000,True,,,0.251569539308548,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:19:21.930000,,,False,Detection,,2024-08-23_93,,2024-08-23T04:19:21.930000,True,,,0.1529661566019058,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:19:52.030000,,,False,Detection,,2024-08-23_94,,2024-08-23T04:19:52.030000,True,,,0.3936178088188171,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:20:07.960000,,,False,Detection,,2024-08-23_95,,2024-08-23T04:20:07.960000,True,,,0.2099191099405288,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:20:08.990000,,,False,Detection,,2024-08-23_96,,2024-08-23T04:20:08.990000,True,,,0.1184134110808372,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:23:07.980000,,,False,Detection,,2024-08-23_97,,2024-08-23T04:23:07.980000,True,,,0.4944280087947845,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:23:08.990000,,,False,Detection,,2024-08-23_98,,2024-08-23T04:23:08.990000,True,,,0.2195190042257309,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:24:52.060000,,,False,Detection,,2024-08-23_99,,2024-08-23T04:24:52.060000,True,,,0.4952103495597839,,,,2024-08-23,,,
