detected,mag,network,date,p_error,long,s_detected,mag_type,depth,s_confidence,time,provider,event_id,p_predicted,code,s_error,epi_distance,p_confidence,s_predicted,catalogued,lat,unique_id,p_detected,plot_path
True,,AM,2024-08-23,,,,,,,2024-08-23T06:49:07.980000,Detection,,,R50D6,,,0.5129600167274475,,False,,2024-08-23_143,2024-08-23T06:49:07.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:50:01.380000,Detection,,,R50D6,,,0.6594699621200562,,False,,2024-08-23_144,2024-08-23T06:50:01.380000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:52:09.990000,Detection,,,R50D6,,,0.8109593987464905,,False,,2024-08-23_145,2024-08-23T06:52:09.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:53:42.210000,Detection,,,R50D6,,,0.2726386189460754,,False,,2024-08-23_146,2024-08-23T06:53:42.210000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:56:38.990000,Detection,,,R50D6,,,0.3918763697147369,,False,,2024-08-23_147,2024-08-23T06:56:38.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:57:06,Detection,,,R50D6,,,0.7985036373138428,,False,,2024-08-23_148,2024-08-23T06:57:06,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:58:46.370000,Detection,,,R50D6,,,0.4293268024921417,,False,,2024-08-23_149,2024-08-23T06:58:46.370000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:59:08.410000,Detection,,,R50D6,,,0.2237826734781265,,False,,2024-08-23_150,2024-08-23T06:59:08.410000,
True,,AM,2024-08-23,,,,,,,2024-08-23T07:00:10.990000,Detection,,,R50D6,,,0.7081609964370728,,False,,2024-08-23_151,2024-08-23T07:00:10.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T07:02:02.590000,Detection,,,R50D6,,,0.5623379945755005,,False,,2024-08-23_152,2024-08-23T07:02:02.590000,
True,,AM,2024-08-23,,,,,,,2024-08-23T07:02:03.020000,Detection,,,R50D6,,,,,False,,2024-08-23_153,,
True,,AM,2024-08-23,,,,,,,2024-08-23T07:02:46.350000,Detection,,,R50D6,,,0.2796937823295593,,False,,2024-08-23_154,2024-08-23T07:02:46.350000,
True,,AM,2024-08-23,,,,,,,2024-08-23T07:02:49.590000,Detection,,,R50D6,,,0.5542346239089966,,False,,2024-08-23_155,2024-08-23T07:02:49.590000,
