long,date,time,s_error,p_detected,unique_id,mag_type,s_confidence,catalogued,plot_path,p_error,lat,depth,event_id,s_detected,epi_distance,mag,s_predicted,code,detected,provider,p_confidence,p_predicted,network
,2024-08-23,2024-08-23T06:27:06.020000,,2024-08-23T06:27:06.020000,2024-08-23_127,,,False,,,,,,,,,,R50D6,True,Detection,0.6920270919799805,,AM
,2024-08-23,2024-08-23T06:28:23,,2024-08-23T06:28:23,2024-08-23_128,,,False,,,,,,,,,,R50D6,True,Detection,0.6206567287445068,,AM
,2024-08-23,2024-08-23T06:29:20.040000,,2024-08-23T06:29:20.040000,2024-08-23_129,,,False,,,,,,,,,,R50D6,True,Detection,0.8843703269958496,,AM
,2024-08-23,2024-08-23T06:30:39,,2024-08-23T06:30:39,2024-08-23_130,,,False,,,,,,,,,,R50D6,True,Detection,0.8769389986991882,,AM
,2024-08-23,2024-08-23T06:31:25.020000,,2024-08-23T06:31:25.020000,2024-08-23_131,,,False,,,,,,,,,,R50D6,True,Detection,0.8881336450576782,,AM
,2024-08-23,2024-08-23T06:31:25.600000,,,2024-08-23_132,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T06:32:35,,2024-08-23T06:32:35,2024-08-23_133,,,False,,,,,,,,,,R50D6,True,Detection,0.4416654407978058,,AM
,2024-08-23,2024-08-23T06:32:35.990000,,2024-08-23T06:32:35.990000,2024-08-23_134,,,False,,,,,,,,,,R50D6,True,Detection,0.3731890320777893,,AM
,2024-08-23,2024-08-23T06:34:19.040000,,2024-08-23T06:34:19.040000,2024-08-23_135,,,False,,,,,,,,,,R50D6,True,Detection,0.7282018661499023,,AM
,2024-08-23,2024-08-23T06:37:20.020000,,2024-08-23T06:37:20.020000,2024-08-23_136,,,False,,,,,,,,,,R50D6,True,Detection,0.6152058839797974,,AM
,2024-08-23,2024-08-23T06:37:20.310000,,,2024-08-23_137,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T06:37:45.140000,,2024-08-23T06:37:45.140000,2024-08-23_138,,,False,,,,,,,,,,R50D6,True,Detection,0.420381635427475,,AM
,2024-08-23,2024-08-23T06:37:46.670000,,,2024-08-23_139,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T06:38:37.060000,,2024-08-23T06:38:37.060000,2024-08-23_140,,,False,,,,,,,,,,R50D6,True,Detection,0.5022830367088318,,AM
,2024-08-23,2024-08-23T06:48:20,,2024-08-23T06:48:20,2024-08-23_141,,,False,,,,,,,,,,R50D6,True,Detection,0.2034134119749069,,AM
,2024-08-23,2024-08-23T06:48:21.030000,,2024-08-23T06:48:21.030000,2024-08-23_142,,,False,,,,,,,,,,R50D6,True,Detection,0.2043528258800506,,AM
,2024-08-23,2024-08-23T06:49:07.980000,,2024-08-23T06:49:07.980000,2024-08-23_143,,,False,,,,,,,,,,R50D6,True,Detection,0.5129600167274475,,AM
,2024-08-23,2024-08-23T06:50:01.380000,,2024-08-23T06:50:01.380000,2024-08-23_144,,,False,,,,,,,,,,R50D6,True,Detection,0.6594699621200562,,AM
,2024-08-23,2024-08-23T06:52:09.990000,,2024-08-23T06:52:09.990000,2024-08-23_145,,,False,,,,,,,,,,R50D6,True,Detection,0.8109593987464905,,AM
,2024-08-23,2024-08-23T06:53:42.210000,,2024-08-23T06:53:42.210000,2024-08-23_146,,,False,,,,,,,,,,R50D6,True,Detection,0.2726386189460754,,AM
,2024-08-23,2024-08-23T06:56:38.990000,,2024-08-23T06:56:38.990000,2024-08-23_147,,,False,,,,,,,,,,R50D6,True,Detection,0.3918763697147369,,AM
,2024-08-23,2024-08-23T06:57:06,,2024-08-23T06:57:06,2024-08-23_148,,,False,,,,,,,,,,R50D6,True,Detection,0.7985036373138428,,AM
,2024-08-23,2024-08-23T06:58:46.370000,,2024-08-23T06:58:46.370000,2024-08-23_149,,,False,,,,,,,,,,R50D6,True,Detection,0.4293268024921417,,AM
,2024-08-23,2024-08-23T06:59:08.410000,,2024-08-23T06:59:08.410000,2024-08-23_150,,,False,,,,,,,,,,R50D6,True,Detection,0.2237826734781265,,AM
,2024-08-23,2024-08-23T07:00:10.990000,,2024-08-23T07:00:10.990000,2024-08-23_151,,,False,,,,,,,,,,R50D6,True,Detection,0.7081609964370728,,AM
,2024-08-23,2024-08-23T07:02:02.590000,,2024-08-23T07:02:02.590000,2024-08-23_152,,,False,,,,,,,,,,R50D6,True,Detection,0.5623379945755005,,AM
,2024-08-23,2024-08-23T07:02:03.020000,,,2024-08-23_153,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T07:02:46.350000,,2024-08-23T07:02:46.350000,2024-08-23_154,,,False,,,,,,,,,,R50D6,True,Detection,0.2796937823295593,,AM
,2024-08-23,2024-08-23T07:02:49.590000,,2024-08-23T07:02:49.590000,2024-08-23_155,,,False,,,,,,,,,,R50D6,True,Detection,0.5542346239089966,,AM
