unique_id,detected,s_predicted,network,event_id,lat,plot_path,depth,mag,code,s_confidence,date,s_detected,mag_type,p_detected,long,s_error,catalogued,time,p_error,provider,p_confidence,p_predicted,epi_distance
2024-08-23_122,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:11:36.010000,,,False,2024-08-23T09:11:36.010000,,Detection,0.5252987146377563,,
2024-08-23_123,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T09:12:40.200000,,Detection,,,
2024-08-23_124,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:16:37.030000,,,False,2024-08-23T09:16:37.030000,,Detection,0.7994953393936157,,
2024-08-23_125,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:20:06.990000,,,False,2024-08-23T09:20:06.990000,,Detection,0.6563047766685486,,
2024-08-23_126,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:23:40.690000,,,False,2024-08-23T09:23:40.690000,,Detection,0.7954661846160889,,
2024-08-23_127,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T09:23:41.310000,,Detection,,,
2024-08-23_128,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:26:39.980000,,,False,2024-08-23T09:26:39.980000,,Detection,0.7007820010185242,,
2024-08-23_129,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T09:26:41.090000,,Detection,,,
2024-08-23_130,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:29:43.390000,,,False,2024-08-23T09:29:43.390000,,Detection,0.5045034885406494,,
2024-08-23_131,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:30:47.270000,,,False,2024-08-23T09:30:47.270000,,Detection,0.7822582125663757,,
2024-08-23_132,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:34:53.060000,,,False,2024-08-23T09:34:53.060000,,Detection,0.5962287187576294,,
2024-08-23_133,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:45:37.010000,,,False,2024-08-23T09:45:37.010000,,Detection,0.6338877081871033,,
2024-08-23_134,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:48:07.980000,,,False,2024-08-23T09:48:07.980000,,Detection,0.5714757442474365,,
2024-08-23_135,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:49:53.110000,,,False,2024-08-23T09:49:53.110000,,Detection,0.5663305521011353,,
2024-08-23_136,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:06:51.040000,,,False,2024-08-23T10:06:51.040000,,Detection,0.7670590281486511,,
2024-08-23_137,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:07:26.070000,,,False,2024-08-23T10:07:26.070000,,Detection,0.6387986540794373,,
2024-08-23_138,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:08:40.910000,,,False,2024-08-23T10:08:40.910000,,Detection,0.5910692811012268,,
2024-08-23_139,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:09:18.370000,,,False,2024-08-23T10:09:18.370000,,Detection,0.6368356943130493,,
2024-08-23_140,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T10:09:18.830000,,Detection,,,
2024-08-23_141,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:10:02.900000,,,False,2024-08-23T10:10:02.900000,,Detection,0.6134840250015259,,
2024-08-23_142,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:11:21.070000,,,False,2024-08-23T10:11:21.070000,,Detection,0.505541980266571,,
2024-08-23_143,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:18:55.540000,,,False,2024-08-23T10:18:55.540000,,Detection,0.7006250619888306,,
2024-08-23_144,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T10:18:56.020000,,Detection,,,
2024-08-23_145,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:20:57.100000,,,False,2024-08-23T10:20:57.100000,,Detection,0.6951689124107361,,
2024-08-23_146,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:21:21.010000,,,False,2024-08-23T10:21:21.010000,,Detection,0.6466006636619568,,
2024-08-23_147,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:23:24.070000,,,False,2024-08-23T10:23:24.070000,,Detection,0.6767135858535767,,
2024-08-23_148,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:24:06.390000,,,False,2024-08-23T10:24:06.390000,,Detection,0.525587797164917,,
2024-08-23_149,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T10:24:06.870000,,Detection,,,
2024-08-23_150,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:26:09.980000,,,False,2024-08-23T10:26:09.980000,,Detection,0.8789507150650024,,
2024-08-23_151,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T10:26:10.460000,,Detection,,,
2024-08-23_152,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:30:23.980000,,,False,2024-08-23T10:30:23.980000,,Detection,0.7804499268531799,,
2024-08-23_153,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:35:54.060000,,,False,2024-08-23T10:35:54.060000,,Detection,0.6739010214805603,,
2024-08-23_154,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:36:50.030000,,,False,2024-08-23T10:36:50.030000,,Detection,0.6165764927864075,,
2024-08-23_155,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:41:50.830000,,,False,2024-08-23T10:41:50.830000,,Detection,0.754635751247406,,
2024-08-23_156,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T10:41:51.240000,,Detection,,,
2024-08-23_157,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:44:11,,,False,2024-08-23T10:44:11,,Detection,0.5766634345054626,,
2024-08-23_158,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T10:44:11.430000,,Detection,,,
2024-08-23_159,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:47:07.020000,,,False,2024-08-23T10:47:07.020000,,Detection,0.8398263454437256,,
2024-08-23_160,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T10:47:54.020000,,,False,2024-08-23T10:47:54.020000,,Detection,0.5856335163116455,,
