unique_id,p_error,network,s_confidence,p_predicted,p_detected,s_predicted,code,lat,plot_path,epi_distance,mag_type,provider,p_confidence,detected,catalogued,s_error,long,date,time,s_detected,mag,event_id,depth
2024-08-24_102,,AM,,2024-08-24T15:04:37.630121,,2024-08-24T15:13:58.658907,R50D6,52.9041,,7932.579943656147,mb,EMSC,,False,True,,160.7612,2024-08-24,2024-08-24T14:53:14.650000,,4.7,quakeml:eu.emsc/event/20240824_0000177,30.0
2024-08-24_103,,AM,,2024-08-24T15:03:11.373127,,2024-08-24T15:12:37.333649,R50D6,38.7001,,8036.789863359273,ml,EMSC,,False,True,,-118.8289,2024-08-24,2024-08-24T14:51:42.999130,,2.1,quakeml:eu.emsc/event/20240824_0000175,16.0
2024-08-24_104,,AM,,2024-08-24T14:33:01.542874,,2024-08-24T14:38:11.026828,R50D6,37.4536,,3484.1497156114297,ml,EMSC,,False,True,,37.1353,2024-08-24,2024-08-24T14:26:39,,1.3,quakeml:eu.emsc/event/20240824_0000176,9.3
2024-08-24_105,,AM,,2024-08-24T14:19:53.354444,,2024-08-24T14:29:39.240682,R50D6,32.9879,,8449.913023940226,ml,EMSC,,False,True,,-116.3197,2024-08-24,2024-08-24T14:08:03.397000,,2.7,quakeml:eu.emsc/event/20240824_0000170,5.0
2024-08-24_106,,AM,,2024-08-24T14:13:13.978640,,2024-08-24T14:17:51.837759,R50D6,37.4972,,2877.807327383753,ml,EMSC,,False,True,,26.8731,2024-08-24,2024-08-24T14:07:37,,1.6,quakeml:eu.emsc/event/20240824_0000174,7.6
2024-08-24_107,,AM,,2024-08-24T14:16:46.573921,,2024-08-24T14:26:11.978347,R50D6,38.684,,8025.499138774253,ml,EMSC,,False,True,,-118.5554,2024-08-24,2024-08-24T14:05:18.806500,,3.3,quakeml:eu.emsc/event/20240824_0000169,5.7
2024-08-24_108,-11.219698,AM,,2024-08-24T14:16:28.709698,2024-08-24T14:16:17.490000,2024-08-24T14:26:22.773000,R50D6,10.228,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_108_event_plot.png?raw=true,8638.099647199979,m,EMSC,0.1478556841611862,True,True,,-84.656,2024-08-24,2024-08-24T14:04:30,,3.5,quakeml:eu.emsc/event/20240824_0000173,75.0
2024-08-24_109,,AM,,2024-08-24T14:12:46.691960,,2024-08-24T14:22:12.120876,R50D6,38.6856,,8025.991466479633,ml,EMSC,,False,True,,-118.5691,2024-08-24,2024-08-24T14:01:18.897750,,2.4,quakeml:eu.emsc/event/20240824_0000155,4.3
2024-08-24_110,,AM,,2024-08-24T14:08:32.398556,,2024-08-24T14:17:57.819580,R50D6,38.6804,,8025.836062693565,ml,EMSC,,False,True,,-118.5554,2024-08-24,2024-08-24T13:57:04.613000,,3.2,quakeml:eu.emsc/event/20240824_0000171,5.3
2024-08-24_111,-1.491244,AM,,2024-08-24T13:28:10.481244,2024-08-24T13:28:08.990000,2024-08-24T13:33:37.898212,R50D6,38.8839,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_111_event_plot.png?raw=true,3776.112465299337,ml,EMSC,0.2665917873382568,True,True,,43.5933,2024-08-24,2024-08-24T13:21:24.860000,,2.5,quakeml:eu.emsc/event/20240824_0000147,13.7
2024-08-24_112,,AM,,2024-08-24T13:21:18.455370,,2024-08-24T13:24:14.082907,R50D6,43.9185,,1612.5520710345447,ml,EMSC,,False,True,,13.3493,2024-08-24,2024-08-24T13:17:44.840000,,2.2,quakeml:eu.emsc/event/20240824_0000148,6.6
2024-08-24_113,,AM,,2024-08-24T13:12:22.192333,,2024-08-24T13:17:49.274445,R50D6,38.9136,,3770.6251265632072,ml,EMSC,,False,True,,43.5422,2024-08-24,2024-08-24T13:05:37,,2.1,quakeml:eu.emsc/event/20240824_0000149,17.8
